"gene_name","poison_exon","E_junc","case","stop_codon","range_tau","min_tau","range_psi1","cor_psi1_tau","cor_psi1_tau_pval","cor_psi1_tau_qval","PAS","PAS_source","pAread","polyASite","I2_split_reads"
"ARIH2","chr3_48933566_48934951_+","chr3_48927813_48944982_+","III",48933790,0.029,0.003,0.039,-0.244,0.044,0.121,"48937790","TE",NA,NA,124
"ARMC7","chr17_75114169_75114351_+","chr17_75110606_75128677_+","III",75114182,0.311,0.625,0.385,-0.585,0,0,"75114820","TE",NA,NA,446
"ARMC8","chr3_138272037_138272268_+","chr3_138270132_138272967_+","III",138272057,0.122,0.827,0.029,-0.311,0.013,0.047,"138272526","TE",NA,NA,2885
"ASPG","chr14_104110017_104111112_+","chr14_104109315_104111502_+","III",104110242,0.422,0.438,0.16,-0.498,0.015,0.05,"104111191","TE",NA,NA,1574
"ATF2","chr2_175092543_175092616_-","chr2_175080765_175093061_-","II",175092614,0.075,0.925,0.428,0.572,1,1,"175090901","polyASite,pAread",590,0.26,NA
"ATG7","chr3_11477134_11477268_+","chr3_11426926_11554811_+","I",11477142,0.288,0.694,0,NA,NA,NA,"11510423","TE,polyASite,pAread",376,0.153,NA
"ATP13A3","chr3_194409171_194409289_-","chr3_194406116_194412199_-","III",194409245,0,1,0.033,NA,NA,NA,"194408543","TE",NA,NA,430
"ATP6V0A1","chr17_42516772_42516949_+","chr17_42514460_42521027_+","II",42516781,0,1,0.138,NA,NA,NA,"42518011","pAread",260,0,NA
"ATP9B","chr18_79375714_79375995_+","chr18_79375426_79377247_+","II",79375763,0,1,0.08,NA,NA,NA,"79376202","pAread",719,0,NA
"ATPAF2","chr17_18020892_18020998_-","chr17_18018686_18021123_-","III",18020960,0.054,0.946,0.135,-0.105,0.232,0.431,"18020730","TE",NA,NA,1390
"BDP1","chr5_71562775_71562895_+","chr5_71562520_71564754_+","II",71562786,0.466,0.534,0.732,-0.44,0.001,0.004,"71564359","polyASite,pAread",148,0.058,NA
"BEND6","chr6_57008181_57008314_+","chr6_56992555_57014462_+","III",57008203,0.145,0.178,0.62,-0.478,0.051,0.129,"57010948","TE",NA,NA,118
"BIN3","chr8_22624971_22625412_-","chr8_22624363_22629964_-","III",22625301,0,1,0.006,NA,NA,NA,"22624370","TE",NA,NA,688
"BPHL","chr6_3138041_3138179_+","chr6_3137422_3140386_+","II",3138083,0,1,0.269,NA,NA,NA,"3138778","polyASite,pAread",250,0.039,NA
"BTN2A2","chr6_26392146_26393648_+","chr6_26390829_26394298_+","III",26392228,0.738,0.251,1,-0.775,0,0,"26394013","TE",NA,NA,227
"BTN2A2","chr6_26392375_26393648_+","chr6_26390829_26394298_+","III",26392967,0.738,0.251,0.166,-0.406,0.003,0.012,"26393992,26394013","TE",NA,NA,227
"C4orf33","chr4_129109991_129110527_+","chr4_129109672_129111686_+","III",129110078,0.196,0.804,0.154,0.182,0.897,1,"129110342","TE",NA,NA,184
"C4orf33","chr4_129110131_129110527_+","chr4_129109672_129111686_+","III",129110149,0.196,0.804,0.056,0.019,0.551,0.881,"129110342","TE",NA,NA,184
"C4orf51","chr4_145699187_145699419_+","chr4_145696632_145726911_+","III",145699215,0,1,0,NA,NA,NA,"145699222","TE",NA,NA,118
"C5orf63","chr5_127047613_127047915_-","chr5_127047520_127052613_-","II",127047670,0.278,0.133,0.029,-0.125,0.241,0.443,"127047519","polyASite,pAread",1264,0.326,NA
"CA6","chr1_8974326_8974536_+","chr1_8970981_8974622_+","III",8974444,0.76,0.231,0.044,0.2,0.625,0.958,"8974541","TE",NA,NA,1761
"CACNA2D3","chr3_54912294_54912388_+","chr3_54899868_54968450_+","II",54912304,0.118,0.787,0.214,0.295,0.867,1,"54918356","pAread",239,0,NA
"CAPS2","chr12_75277614_75279065_-","chr12_75276247_75282251_-","III",75278890,0,1,0.6,NA,NA,NA,"75277211","TE",NA,NA,312
"CBR4","chr4_168928537_168928677_-","chr4_168894765_169002071_-","III",168928652,0.778,0.222,0,NA,NA,NA,"168927817","TE",NA,NA,227
"CBWD1","chr9_151305_151427_-","chr9_146158_152034_-","II",151415,0.298,0.455,0.102,0.469,1,1,"150097","pAread",106,0,NA
"CCDC169","chr13_36281166_36281260_-","chr13_36254143_36283469_-","III",36281252,0,1,0.375,NA,NA,NA,"36280057","TE",NA,NA,1532
"CCDC18","chr1_93237262_93237380_+","chr1_93236390_93239310_+","III",93237277,0,1,0.234,NA,NA,NA,"93237380","TE",NA,NA,6205
"CCDC28A","chr6_138782340_138782441_+","chr6_138779985_138785227_+","III",138782344,0,1,0.241,NA,NA,NA,"138783155","TE",NA,NA,258
"CCDC28A","chr6_138782340_138782518_+","chr6_138779985_138785227_+","III",138782344,0,1,0.241,NA,NA,NA,"138783155","TE",NA,NA,547
"CCDC66","chr3_56569313_56569637_+","chr3_56567053_56571181_+","III",56569362,0.548,0.379,0.668,-0.848,0,0,"56570671","TE",NA,NA,140
"CCDC91","chr12_28412754_28412938_+","chr12_28391411_28450161_+","II",28412795,0,1,0.045,NA,NA,NA,"28441099","pAread",157,0,NA
"CCNC","chr6_99549312_99549399_-","chr6_99546474_99549508_-","I",99549389,0,1,0.029,NA,NA,NA,"99549312","TE",0,0,NA
"CCNH","chr5_87392770_87392904_-","chr5_87312795_87395044_-","I",87392860,0.325,0.014,0.105,-0.377,0.003,0.013,"87389580","TE,polyASite,pAread",10790,4.542,NA
"CCNH","chr5_87392770_87394480_-","chr5_87312795_87395044_-","III",87394457,0.325,0.014,0.926,-0.702,0,0,"87391494","TE",NA,NA,583
"CCNJL","chr5_160254129_160254335_-","chr5_160253798_160255549_-","I",160254320,0,1,0.297,NA,NA,NA,"160254130","TE",0,0,NA
"CD226","chr18_69910297_69910602_-","chr18_69896045_69946734_-","III",69910535,0.152,0.848,0.429,-1,NA,NA,"69909674","TE",NA,NA,303
"CD33","chr19_51235823_51235943_+","chr19_51235676_51239518_+","III",51235831,0,1,0.156,NA,NA,NA,"51235966","TE",NA,NA,1864
"CD44","chr11_35222375_35222569_+","chr11_35221732_35229129_+","III",35222378,0,1,0.013,NA,NA,NA,"35223319","TE",NA,NA,256
"CD47","chr3_108054253_108054348_-","chr3_108051970_108057477_-","II",108054329,0.009,0.991,0.003,0.166,0.878,1,"108053886","pAread",93,0,NA
"CD55","chr1_207347132_207347256_+","chr1_207340508_207359546_+","III",207347171,0.222,0.778,0.203,-0.069,0.319,0.564,"207347251","TE",NA,NA,563
"CD55","chr1_207350138_207350222_+","chr1_207339417_207359546_+","II",207350151,0.504,0.429,0,0.231,0.949,1,"207351557","polyASite,pAread",628,0.459,NA
"CDHR1","chr10_84214082_84215983_+","chr10_84213348_84219079_+","III",84214621,0.34,0.134,0.465,0.091,0.649,0.979,"84218694","TE",NA,NA,7231
"CDK12","chr17_39530604_39531408_+","chr17_39526316_39544249_+","III",39531316,0.334,0.378,0.393,-0.644,0,0,"39534544","TE",NA,NA,2934
"CDK12","chr17_39530631_39531408_+","chr17_39526316_39544249_+","III",39531316,0.334,0.378,0.422,-0.469,0,0.002,"39534544","TE",NA,NA,2934
"CDKL1","chr14_50331997_50332692_-","chr14_50330181_50334565_-","III",50332660,0.729,0.252,0.077,0.402,0.998,1,"50331926","TE",NA,NA,1194
"CDKN2A","chr9_21968575_21968771_-","chr9_21968242_21970902_-","I",21968725,0.65,0.35,0,-0.354,0.049,0.127,"21968249","TE",0,0,NA
"CENATAC","chr11_119001613_119001825_+","chr11_118999109_119010764_+","II",119001676,0,1,0.211,NA,NA,NA,"119010697","polyASite,pAread",1000,0.443,NA
"CEP120","chr5_123358252_123358445_-","chr5_123350089_123364496_-","I",123358395,0.053,0.947,0,NA,NA,NA,"123358244","TE,polyASite,pAread",181,0.107,NA
"CFAP74","chr1_1937389_1937553_-","chr1_1930336_1938855_-","III",1937523,0.491,0.509,0.432,-0.933,0,0.002,"1936510","TE",NA,NA,268
"CFDP1","chr16_75391380_75391508_-","chr16_75305182_75395090_-","I",75391496,0.014,0.986,0.056,0.058,0.656,0.986,"75372200","TE,polyASite,pAread",8660,0.733,NA
"CFLAR","chr2_201154137_201154407_+","chr2_201149835_201160432_+","II",201154222,0.118,0.882,0.082,-0.132,0.178,0.353,"201156604","pAread",55,0,NA
"CHCHD6","chr3_126883194_126888677_+","chr3_126852730_126914680_+","III",126883259,0.089,0.911,0.013,0.147,0.848,1,"126891450","TE",NA,NA,365
"CHCHD6","chr3_126953222_126953398_+","chr3_126914750_126957416_+","III",126953276,0,1,0.012,NA,NA,NA,"126953398","TE",NA,NA,691
"CHKA","chr11_68061600_68061830_-","chr11_68054047_68061953_-","II",68061666,0,1,0.387,NA,NA,NA,"68060034","pAread",12390,0,NA
"CHM","chrX_85872409_85872516_-","chrX_85864821_85873052_-","III",85872478,0,1,0.04,NA,NA,NA,"85871363","TE",NA,NA,490
"CHST15","chr10_124010622_124011056_-","chr10_124010339_124012333_-","III",124011019,0.415,0.525,0.041,0.075,0.697,1,"124010353","TE",NA,NA,1748
"CHUK","chr10_100199001_100199168_-","chr10_100194521_100199971_-","III",100199101,0.018,0.982,0.038,-0.222,0.059,0.147,"100196408","TE",NA,NA,267
"CIBAR1","chr8_93727131_93727244_+","chr8_93726513_93728205_+","II",93727169,0.186,0.814,0.082,-0.299,0.017,0.057,"93728180","polyASite",0,0.805,NA
"CLEC16A","chr16_11149886_11150041_+","chr16_11126146_11156574_+","III",11149929,0.184,0,0.856,-0.539,0.043,0.121,"11151810","TE",NA,NA,177
"CLEC2A","chr12_9913460_9913680_-","chr12_9898976_9916700_-","III",9913566,0.004,0.641,0.737,-1,NA,NA,"9913227","TE",NA,NA,1657
"CLEC2A","chr12_9913460_9913680_-","chr12_9898976_9916704_-","III",9913667,0.004,0.639,0.311,-1,NA,NA,"9913227","TE",NA,NA,1657
"CLTB","chr5_176406157_176406708_-","chr5_176398047_176410257_-","I",176406538,0,1,0.066,NA,NA,NA,"176405532","TE,polyASite,pAread",3924,1.633,NA
"CMPK1","chr1_47358298_47358402_+","chr1_47334116_47368469_+","III",47358303,0,1,0.003,NA,NA,NA,"47358875","TE",NA,NA,1269
"CNNM4","chr2_96802746_96803066_+","chr2_96799648_96808561_+","III",96802837,0,1,0.035,NA,NA,NA,"96803066","TE",NA,NA,2275
"CNTRL","chr9_121161283_121161625_+","chr9_121160302_121161856_+","III",121161296,0.279,0.721,0.132,-0.669,0,0,"121161505","TE",NA,NA,3722
"COL6A2","chr21_46128903_46129392_+","chr21_46126541_46131954_+","III",46128928,0.207,0.704,0.011,-0.346,0.006,0.025,"46129801","TE",NA,NA,54740
"COMMD2","chr3_149750257_149750382_-","chr3_149741718_149750678_-","II",149750377,0,1,0.048,NA,NA,NA,"149742180","polyASite,pAread",450,0.003,NA
"COMT","chr22_19967164_19967621_+","chr22_19964299_19968536_+","II",19967427,0.004,0.996,0.015,-0.24,0.045,0.122,"19967683","polyASite,pAread",2664,0.837,NA
"COQ2","chr4_83267090_83267208_-","chr4_83264363_83267586_-","II",83267173,0.224,0.776,0.099,-0.051,0.365,0.626,"83266647","polyASite,pAread",2302,0.122,NA
"CPED1","chr7_121261632_121261770_+","chr7_121244338_121266227_+","I",121261673,0.443,0.557,0.494,-0.725,0,0,"121261918","TE,polyASite,pAread",909,0.481,NA
"CPXM2","chr10_123748884_123749056_-","chr10_123747017_123754663_-","III",123748986,0,1,0.015,NA,NA,NA,"123747951","TE",NA,NA,1845
"CRBN","chr3_3172506_3172646_-","chr3_3167793_3172776_-","III",3172589,0.235,0.765,0.341,-0.665,0,0,"3172176","TE",NA,NA,6107
"CRYL1","chr13_20418398_20419084_-","chr13_20413387_20432102_-","II",20419028,0.02,0.98,0.082,-0.24,0.045,0.122,"20417932","polyASite,pAread",159,0.068,NA
"CSGALNACT2","chr10_43171984_43172163_+","chr10_43167098_43175951_+","III",43172076,0,1,0.022,NA,NA,NA,"43172156","TE",NA,NA,13046
"CTSZ","chr20_58996852_58997152_-","chr20_58995759_58997603_-","III",58997044,0,1,0.127,NA,NA,NA,"58996583","TE",NA,NA,2028
"CUBN","chr10_17010676_17012171_-","chr10_16990515_17019833_-","III",17012122,0.919,0.081,0.914,-1,NA,NA,"17007194","TE",NA,NA,354
"DCAF5","chr14_69089948_69091156_-","chr14_69075411_69091674_-","III",69091055,0.141,0.859,0.087,-0.293,0.018,0.059,"69089204","TE",NA,NA,3594
"DCAF6","chr1_168019545_168019667_+","chr1_168004793_168022988_+","II",168019585,0.57,0.267,0.403,0.256,0.965,1,"168021230","polyASite,pAread",108,0.032,NA
"DDX25","chr11_125922100_125922220_+","chr11_125921379_125922820_+","III",125922110,0,1,0.067,NA,NA,NA,"125922664","TE",NA,NA,190
"DDX31","chr9_132596315_132596422_-","chr9_132595112_132612087_-","III",132596368,0.156,0.844,0.004,-0.187,0.095,0.223,"132595146","TE",NA,NA,248
"DDX31","chr9_132658103_132658358_-","chr9_132652492_132658671_-","III",132658302,0.414,0.586,0.465,-0.813,0,0,"132658083","TE",NA,NA,495
"DDX3X","chrX_41347640_41347915_+","chrX_41347451_41357833_+","I",41347719,0.349,0,0.052,-0.289,0.02,0.062,"41351665","TE,polyASite,pAread",4352,11.284,NA
"DEUP1","chr11_93434794_93435040_+","chr11_93415114_93437543_+","III",93434958,0,0.838,0.006,NA,NA,NA,"93435040","TE",NA,NA,242
"DGLUCY","chr14_91223679_91223795_+","chr14_91215556_91224684_+","II",91223702,0.052,0.948,0.109,0.096,0.749,1,"91223796","pAread",209,0,NA
"DHX8","chr17_43517832_43518062_+","chr17_43517322_43520130_+","II",43517849,0.093,0.876,0.007,0.117,0.794,1,"43519537","pAread",87,0,NA
"DNAJC21","chr5_34950444_34950858_+","chr5_34950342_34953926_+","III",34950447,0,1,0.098,NA,NA,NA,"34952763","TE",NA,NA,230
"DNAJC7","chr17_41987595_41987694_-","chr17_41983636_41987819_-","II",41987661,0,1,0.19,NA,NA,NA,"41987395","polyASite,pAread",404,0.07,NA
"DNASE1","chr16_3657906_3658064_+","chr16_3657816_3662646_+","III",3657953,0.804,0.196,0.216,0.049,0.623,0.958,"3658095","TE",NA,NA,112
"DPY19L2","chr12_63567600_63567699_-","chr12_63560662_63569224_-","II",63567651,0,1,0.513,NA,NA,NA,"63562792","pAread",203,0,NA
"DPY19L2","chr12_63591818_63591936_-","chr12_63591127_63594087_-","III",63591897,0.901,0.099,0.288,0.216,0.696,1,"63591489","TE",NA,NA,150
"DTNB","chr2_25386027_25387151_-","chr2_25383889_25387289_-","III",25387099,0.779,0.221,0.079,0.35,0.992,1,"25384908","TE",NA,NA,5725
"DTWD1","chr15_49643331_49644519_+","chr15_49634794_49653878_+","I",49643578,0.941,0.059,0.157,-0.798,0,0,"49643630","TE,polyASite,pAread",16116,10.323,NA
"DZIP1L","chr3_138069011_138069164_-","chr3_138068367_138071643_-","III",138069160,0,1,0.145,NA,NA,NA,"138068983","TE",NA,NA,2361
"EDRF1","chr10_125742220_125742345_+","chr10_125741201_125743058_+","II",125742239,0.282,0.718,0.092,-0.13,0.182,0.359,"125742891","polyASite,pAread",89,0.378,NA
"EEF1E1","chr6_8078500_8078740_-","chr6_8073510_8090186_-","III",8078678,0.243,0.009,0.883,-0.914,0,0,"8078494","TE",NA,NA,330
"EEF1E1","chr6_8078587_8078740_-","chr6_8073510_8090186_-","III",8078678,0.243,0.009,0.883,-0.914,0,0,"8078494","TE",NA,NA,135
"EIF3E","chr8_108233133_108233672_-","chr8_108229195_108234998_-","III",108233625,0.038,0.962,0.09,-0.337,0.008,0.029,"108230122","TE",NA,NA,108
"EMG1","chr12_6983002_6983206_+","chr12_6975378_6987782_+","II",6983052,0.169,0.019,0.015,-0.165,0.131,0.289,"6983274","polyASite,pAread",70,0.049,NA
"ENKUR","chr10_24984210_24984376_-","chr10_24982770_24984736_-","II",24984370,0.534,0.316,0.214,0.574,0.984,1,"24982813","polyASite,pAread",305,0.025,NA
"ENTPD1","chr10_95865273_95865411_+","chr10_95864861_95866177_+","III",95865299,0.311,0.689,0.091,0.042,0.609,0.943,"95865823","TE",NA,NA,3623
"ENTPD5","chr14_73961136_73961550_-","chr14_73959553_73970010_-","III",73961533,0.222,0.778,0.741,-0.184,0.102,0.233,"73961084","TE",NA,NA,103
"EPS8L1","chr19_55083767_55084642_+","chr19_55083644_55085841_+","I",55083782,0,1,0.267,NA,NA,NA,"55084225","TE,polyASite,pAread",683,0.258,NA
"EPSTI1","chr13_42897322_42897544_-","chr13_42895108_42900310_-","III",42897463,0.232,0.747,0.137,-0.104,0.251,0.457,"42897119","TE",NA,NA,1602
"ERCC6L2","chr9_95967459_95967625_+","chr9_95966714_95970576_+","I",95967461,0.047,0.953,0.137,0.312,0.935,1,"95968829","TE,polyASite,pAread",41,0.005,NA
"EVPLL","chr17_18387083_18387200_+","chr17_18383587_18388219_+","III",18387085,0,1,0.002,NA,NA,NA,"18387118","TE",NA,NA,600
"EXOC2","chr6_534508_534580_-","chr6_532610_549175_-","III",534566,0.138,0.862,0.003,-0.135,0.173,0.348,"534551","TE",NA,NA,404
"EXOG","chr3_38513750_38513868_+","chr3_38506968_38523901_+","II",38513761,0.008,0.992,0.214,0.086,0.706,1,"38523289","polyASite,pAread",49,0.029,NA
"EXOG","chr3_38523173_38523645_+","chr3_38506968_38523901_+","II",38523202,0.008,0.992,0.011,0.156,0.837,1,"38523289","polyASite,pAread",49,0.029,NA
"FAAH2","chrX_57452131_57452311_+","chrX_57448718_57488757_+","I",57452171,0.052,0.948,0.735,0.051,0.587,0.928,"57452517","TE,polyASite,pAread",245,0.231,NA
"FAHD2A","chr2_95412895_95413825_+","chr2_95412764_95413966_+","II",95412957,0.531,0.085,0.016,-0.193,0.087,0.207,"95413119","polyASite,pAread",25115,54.055,NA
"FAM126A","chr7_22940972_22946163_-","chr7_22920325_22960256_-","III",22945589,0.088,0.007,0.5,-0.57,0,0.001,"22934211","TE",NA,NA,137
"FARS2","chr6_5466559_5467069_+","chr6_5431172_5545180_+","II",5466665,0,1,0,NA,NA,NA,"5467167","polyASite,pAread",207,0.018,NA
"FBXO27","chr19_39025156_39025554_-","chr19_39014547_39026870_-","III",39025411,0.271,0.153,0.441,-0.868,0,0,"39024021,39024829","TE",NA,NA,113
"FBXO8","chr4_174256027_174256145_-","chr4_174241218_174259699_-","II",174256092,0,1,0.416,NA,NA,NA,"174254858","polyASite,pAread",57,0.004,NA
"FOXK2","chr17_82595782_82596191_+","chr17_82587272_82601303_+","II",82595840,0.241,0.759,0.019,-0.055,0.351,0.613,"82598185","pAread",94,0,NA
"FUT11","chr10_73775419_73775945_+","chr10_73773815_73778828_+","III",73775515,0.785,0.215,0.978,0.131,0.804,1,"73776219","TE",NA,NA,160
"FUT11","chr10_73775419_73776158_+","chr10_73773815_73778828_+","III",73775515,0.785,0.215,0.978,0.131,0.804,1,"73776219","TE",NA,NA,3809
"FUT11","chr10_73775541_73775945_+","chr10_73773815_73778828_+","III",73775685,0.785,0.215,0.052,-0.308,0.014,0.048,"73776219","TE",NA,NA,160
"FUT11","chr10_73775541_73776158_+","chr10_73773815_73778828_+","III",73775685,0.785,0.215,0.052,-0.308,0.014,0.048,"73776219","TE",NA,NA,3809
"FXN","chr9_69072612_69072830_+","chr9_69065035_69099901_+","III",69072762,0.313,0.027,0.367,-0.747,0,0,"69079076","TE",NA,NA,101
"FXR2","chr17_7592071_7592157_-","chr17_7591925_7592254_-","I",7592122,0,1,0.159,NA,NA,NA,"7592066","TE",0,0,NA
"FYCO1","chr3_45919413_45921840_-","chr3_45919065_45923656_-","II",45921765,0,1,0.006,NA,NA,NA,"45921068","polyASite,pAread",823,0.018,NA
"GATD3","chr21_44140942_44141430_+","chr21_44140342_44143205_+","III",44141074,0.672,0.328,0.061,-0.4,0.375,0.64,"44141415","TE",NA,NA,1249
"GCA","chr2_162360217_162361976_+","chr2_162359552_162371306_+","III",162360243,0.328,0.007,0.283,-0.43,0.001,0.004,"162363108,162363123","TE",NA,NA,146
"GCDH","chr19_12899468_12900318_+","chr19_12897863_12913995_+","I",12899541,0.157,0.015,0.023,-0.784,0,0,"12899951","TE,polyASite,pAread",14219,19.59,NA
"GCDH","chr19_12899700_12900050_+","chr19_12897863_12900234_+","III",12899743,0.33,0.066,0.912,-0.42,0.002,0.01,"12899969","TE",NA,NA,296
"GCOM1","chr15_57646137_57646669_+","chr15_57639545_57661450_+","I",57646190,0.406,0.545,0.49,-0.69,0,0,"57650050","TE,polyASite,pAread",3359,0.301,NA
"GET1","chr21_39396866_39397155_+","chr21_39393280_39405914_+","III",39396939,0.992,0.008,0.031,-0.479,0,0.001,"39397889","TE",NA,NA,126
"GK5","chr3_142169074_142169323_-","chr3_142165770_142170325_-","III",142169280,0.135,0.865,0.005,0.129,0.814,1,"142168743","TE",NA,NA,369
"GK5","chr3_142184711_142185793_-","chr3_142183049_142185929_-","II",142185704,0,1,0.442,NA,NA,NA,"142185636","polyASite,pAread",772,0.006,NA
"GLB1L2","chr11_134345268_134345613_+","chr11_134345129_134347325_+","III",134345313,0,1,0.057,NA,NA,NA,"134345848","TE",NA,NA,528
"GMDS","chr6_1717508_1717643_-","chr6_1624540_1726416_-","I",1717611,0.11,0.89,0,NA,NA,NA,"1690473","TE,polyASite,pAread",1534,0.223,NA
"GOLM2","chr15_44345875_44347266_+","chr15_44338317_44379690_+","II",44345894,0,1,0.008,NA,NA,NA,"44351613","pAread",271,0,NA
"GPATCH2L","chr14_76178208_76178322_+","chr14_76177931_76180764_+","I",76178213,0,1,0.09,NA,NA,NA,"76179869","TE",0,0,NA
"GPR137B","chr1_236207133_236207280_+","chr1_236205250_236208050_+","I",236207181,0.012,0.988,0.161,-0.074,0.304,0.54,"236207280","TE",0,0,NA
"GPR137C","chr14_52618011_52618193_+","chr14_52600341_52632160_+","II",52618019,0,1,0.017,NA,NA,NA,"52631923","pAread",51,0,NA
"GSAP","chr7_77323647_77323742_-","chr7_77321403_77326212_-","II",77323732,0,1,0.018,NA,NA,NA,"77322584","pAread",115,0,NA
"GTF2B","chr1_88858681_88858787_-","chr1_88857487_88859882_-","II",88858771,0.062,0.938,0.065,-0.33,0.009,0.033,"88857693","pAread",2084,0,NA
"GTF2E2","chr8_30584904_30585158_-","chr8_30580396_30607057_-","III",30585139,0,1,0.027,NA,NA,NA,"30584425","TE",NA,NA,1416
"GTF2H5","chr6_158172357_158173643_+","chr6_158170538_158191977_+","III",158172537,0,1,0.003,NA,NA,NA,"158173727","TE",NA,NA,1557
"HDAC8","chrX_72349692_72349926_-","chrX_72330076_72351733_-","II",72349910,0,1,0.021,NA,NA,NA,"72332571","pAread",548,0,NA
"HDHD2","chr18_47108923_47111786_-","chr18_47108785_47112977_-","III",47111752,0.116,0.884,0.147,0.317,0.988,1,"47108912","TE",NA,NA,7606
"HIF3A","chr19_46338227_46338480_+","chr19_46334986_46339525_+","III",46338306,0.386,0.484,0.277,-0.72,0,0,"46338540","TE",NA,NA,1412
"HKDC1","chr10_69262058_69262188_+","chr10_69261294_69265585_+","II",69262106,0.181,0.819,0.32,0.289,0.819,1,"69262261","polyASite,pAread",281,0.003,NA
"HMGN1","chr21_39347379_39347478_-","chr21_39345958_39348292_-","II",39347467,0.821,0.179,0.423,-0.003,0.493,0.807,"39347350","polyASite,pAread",264,0.648,NA
"HPGD","chr4_174507625_174508183_-","chr4_174495624_174508696_-","III",174508074,0.049,0.951,0.05,-0.285,0.075,0.18,"174506743","TE",NA,NA,224
"HSD17B3","chr9_96250281_96250485_-","chr9_96249786_96251418_-","III",96250465,0.242,0.758,0.867,0.771,1,1,"96249910","TE",NA,NA,209
