ex	E	stop_cod	ss1.ate	ss4.ate	tr_id	ss1.junc	ss4.junc	reads	within_ex	UTR_len
chr19_13769578_13769705_+	13769048_-	13769597	13769646	13772121	CHS.25841.3	13769706	13772121	2880	FALSE	109
chr19_3636104_3638006_-	-_3638884	3637824	3633520	3637775	CHS.25344.21	3633520	3637536	2839	TRUE	288
chr19_55387285_55387719_+	55386693_-	55387289	55387338	55387930	CHS.27612.5	55387778	55387930	2831	FALSE	489
chr12_102019277_102019371_-	-_102025974	102019362	102017805	102019313	CHS.12581.16,CHS.12581.33	102017805	102019277	2733	FALSE	85
chr5_70946707_70946924_+	70946176_-	70946757	70946806	70951941	CHS.43095.8	70946815	70951941	2579	TRUE	58
chr9_26915313_26916705_-	-_26917097	26916670	26913947	26916621	CHS.55251.7	26913947	26916436	2428	TRUE	234
chr3_138068983_138069164_-	-_138071643	138069160	138068367	138069111	CHS.38470.18	138068367	138069011	2361	TRUE	149
chr14_49751010_49751106_+	49743805_-	49751055	49751104	49751586	CHS.15424.28	49751145	49751586	2331	FALSE	90
chr2_96802746_96803066_+	96799648_-	96802837	96802886	96808561	CHS.30237.5	96803066	96808561	2275	FALSE	229
chr2_159240360_159241876_-	-_159248372	159241863	159236190	159241814	CHS.31181.18	159236190	159241071	2118	TRUE	792
chr3_13346033_13347368_-	-_13351879	13347348	13343303	13347299	CHS.36628.16	13343303	13347090	2094	TRUE	258
chr20_58996583_58997152_-	-_58997603	58997044	58995759	58996995	CHS.34031.24	58995759	58996852	2028	TRUE	192
chr10_78040615_78040697_+	78037304_-	78040626	78040675	78054531	CHS.6573.6	78040747	78054531	1989	FALSE	121
chr3_133935906_133936326_-	-_133938429	133936253	133935897	133936204	CHS.38418.28	133935897	133936148	1975	TRUE	105
chr11_31449030_31449091_-	-_31456260	31449038	31433570	31448989	CHS.8366.29	31433570	31448944	1951	FALSE	94
chr8_30547292_30547519_+	30544624_-	30547423	30547472	30549500	CHS.53126.1	30547969	30549500	1888	FALSE	546
chr19_51235823_51235966_+	51235676_-	51235831	51235880	51239518	CHS.27375.10	51235943	51239518	1864	TRUE	112
chr10_123747951_123749056_-	-_123754663	123748986	123747017	123748937	CHS.7428.11	123747017	123748884	1845	TRUE	102
chr1_209779431_209779655_+	209778173_-	209779453	209779502	209780470	CHS.4428.24,CHS.4428.9	209779569	209780470	1811	TRUE	116
chr14_39037452_39037608_-	-_39039031	39037570	39033328	39037521	CHS.15331.10	39033328	39037470	1800	TRUE	100
chr14_39037466_39037608_-	-_39039031	39037570	39033328	39037521	CHS.15331.11	39033328	39037470	1800	TRUE	100
chr1_8974326_8974541_+	8970981_-	8974444	8974493	8974622	CHS.307.2	8974536	8974622	1761	TRUE	92
chr10_124010353_124011056_-	-_124012333	124011019	124010339	124010970	CHS.7433.22	124010339	124010622	1748	TRUE	397
chr19_2233153_2233905_-	-_2233998	2233840	2230612	2233791	CHS.25253.6,CHS.25253.9	2230612	2233531	1720	TRUE	309
chr2_191038831_191038961_-	-_191039199	191038893	191036299	191038844	CHS.31652.8	191036299	191038805	1697	FALSE	88
chr12_9913227_9913680_-	-_9916704	9913667	9898976	9913618	CHS.10948.7	9898976	9913460	1657	TRUE	207
chr12_9913227_9913680_-	-_9916700	9913566	9898976	9913517	CHS.10948.11,CHS.10948.6	9898976	9913460	1657	TRUE	106
chr13_42897119_42897544_-	-_42900310	42897463	42895108	42897414	CHS.13911.15	42895108	42897322	1602	TRUE	141
chr7_140016392_140016579_+	140015860_-	140016416	140016465	140017671	CHS.51993.18	140016864	140017671	1601	FALSE	448
chr14_104110017_104111191_+	104109315_-	104110242	104110291	104111502	CHS.16509.17	104111112	104111502	1574	TRUE	870
chr6_158172357_158173727_+	158170538_-	158172537	158172586	158191977	CHS.47921.7	158173643	158191977	1557	TRUE	1106
chr12_128798118_128799034_-	-_128799259	128798880	128794356	128798831	CHS.13228.21	128794356	128798811	1556	TRUE	69
chr12_128798118_128799064_-	-_128799259	128798880	128794356	128798831	CHS.13228.20,CHS.13228.22	128794356	128798811	1556	TRUE	69
chr13_36280057_36281260_-	-_36283469	36281252	36254143	36281203	CHS.13797.18	36254143	36281166	1532	TRUE	86
chr11_111737877_111741612_-	-_111742053	111741596	111737569	111741547	CHS.9961.17,CHS.9961.18,CHS.9961.19	111737569	111738700	1473	TRUE	2896
chr19_48662475_48663226_-	-_48663463	48663177	48662041	48663128	CHS.27188.15	48662041	48662500	1454	TRUE	677
chr14_104593665_104594076_-	-_104595165	104594014	104593658	104593965	CHS.16522.20	104593658	104593927	1441	TRUE	87
chr12_110167871_110169182_+	110163065_-	110167978	110168027	110180422	CHS.12747.1,CHS.12747.13	110168241	110180422	1425	TRUE	263
chr1_6632914_6633562_+	6632495_-	6632922	6632971	6634020	CHS.261.12,CHS.261.23	6633454	6634020	1422	TRUE	532
chr8_30584425_30585158_-	-_30607057	30585139	30580396	30585090	CHS.53130.20	30580396	30584904	1416	TRUE	235
chr19_46338227_46338540_+	46334986_-	46338306	46338355	46339525	CHS.27066.24,CHS.27066.39,CHS.27066.51,CHS.27066.52	46338480	46339525	1412	TRUE	174
chr1_236545162_236547908_+	236544915_-	236545221	236545270	236548012	CHS.5018.12,CHS.5018.13	236545293	236548012	1405	TRUE	72
chr17_18020730_18020998_-	-_18021123	18020960	18018686	18020911	CHS.21488.16	18018686	18020892	1390	TRUE	68
chr15_75887257_75890428_+	75883424_-	75887299	75887348	75890435	CHS.17920.24	75889088	75890435	1366	TRUE	1789
chr13_98455982_98456560_-	-_98457168	98456464	98453209	98456415	CHS.14550.22	98453209	98456130	1293	TRUE	334
chr1_47358298_47358875_+	47334116_-	47358303	47358352	47368469	CHS.1547.1	47358402	47368469	1269	TRUE	99
chr2_131483960_131484218_-	-_131491876	131484061	131472182	131484012	CHS.30860.14,CHS.30860.32,CHS.30860.34,CHS.30860.35	131472182	131483964	1257	TRUE	97
chr21_44140942_44141415_+	44140342_-	44141074	44141123	44143205	CHS.34913.3	44141430	44143205	1249	FALSE	356
chr14_39037452_39037608_-	-_39039031	39037570	39033328	39037521	CHS.15331.10	39033328	39037466	1201	TRUE	104
chr14_39037466_39037608_-	-_39039031	39037570	39033328	39037521	CHS.15331.11	39033328	39037466	1201	FALSE	104
chr14_50331926_50332692_-	-_50334565	50332660	50330181	50332611	CHS.15451.15	50330181	50331997	1194	TRUE	663
chr6_37369791_37370247_+	37369218_-	37369820	37369869	37371512	CHS.46257.18	37369905	37371512	1123	TRUE	85
chr8_15758030_15760667_+	15748465_-	15758081	15758130	15764203	CHS.52804.18	15760208	15764203	1118	TRUE	2127
chr9_12777200_12777578_+	12776027_-	12777229	12777278	12821386	CHS.55078.1	12777379	12821386	1098	TRUE	150
chr11_9021983_9024413_-	-_9025702	9024406	9021955	9024357	CHS.8044.14	9021955	9022412	974	TRUE	1994
chr11_9021984_9024413_-	-_9025702	9024406	9021955	9024357	CHS.8044.15	9021955	9022412	974	TRUE	1994
chr12_29521589_29528482_-	-_29536209	29528447	29520720	29528398	CHS.11308.11	29520720	29528346	960	TRUE	101
chr16_58011018_58013558_+	58010112_-	58011129	58011178	58014273	CHS.20001.4	58011612	58014273	956	TRUE	483
chr5_35960756_35962951_-	-_35965386	35962874	35957419	35962825	CHS.42604.23	35957419	35962763	938	TRUE	111
chr19_34498562_34498694_+	34495771_-	34498564	34498613	34500129	CHS.26422.7	34498717	34500129	936	FALSE	153
chr20_3751235_3751399_+	3750907_-	3751242	3751291	3751511	CHS.32804.14	3751389	3751511	934	TRUE	147
chr6_24839994_24840775_-	-_24842862	24840704	24839599	24840655	CHS.45626.27	24839599	24840064	923	TRUE	640
chr10_132754244_132757333_+	132749845_-	132754264	132754313	132765773	CHS.7589.4	132754385	132765773	913	TRUE	121
chr7_36523630_36528351_-	-_36530418	36528308	36522115	36528259	CHS.50364.21	36522115	36525104	877	TRUE	3204
chr4_75526960_75530026_+	75516979_-	75527214	75527263	75539859	CHS.40683.10	75527598	75539859	873	TRUE	384
chr4_75526960_75530026_+	75521861_-	75527214	75527263	75539859	CHS.40683.16,CHS.40683.9	75527598	75539859	873	TRUE	384
chr18_36794108_36797050_-	-_36798449	36796805	36787079	36796756	CHS.24470.24,CHS.24470.25,CHS.24470.26	36787079	36794224	850	TRUE	2581
chr5_70071282_70071499_+	70070751_-	70071332	70071381	70076521	CHS.43080.10	70071390	70076521	844	TRUE	58
chr11_75730194_75730702_+	75728989_-	75730354	75730403	75731132	CHS.9523.1,CHS.9523.13	75730427	75731132	800	TRUE	73
chr10_113907226_113907243_+	113905036_-	113907233	113907282	113908280	CHS.7240.1	113907359	113908280	786	FALSE	126
chr7_75998545_75999134_-	-_76000890	75999096	75996599	75999047	CHS.50970.23	75996599	75998981	786	TRUE	115
chr2_237762603_237765915_+	237760205_-	237764140	237764189	237769943	CHS.32507.47,CHS.32507.48,CHS.32507.49	237764211	237769943	779	TRUE	71
chr1_64244130_64246274_+	64241733_-	64244133	64244182	64260603	CHS.1836.5	64245664	64260603	775	TRUE	1531
chr1_64244130_64246274_+	64241733_-	64244159	64244208	64260603	CHS.1836.15	64245664	64260603	775	TRUE	1505
chr16_21177137_21177644_+	21174148_-	21177158	21177207	21178797	CHS.19296.21	21177327	21178797	759	TRUE	169
chr16_21177162_21177643_+	21174148_-	21177234	21177283	21178797	CHS.19296.20	21177327	21178797	759	TRUE	93
chr2_230176475_230176724_-	-_230177538	230176665	230172959	230176616	CHS.32278.21,CHS.32278.23,CHS.32278.34	230172959	230176193	746	FALSE	472
chr4_8475530_8476555_+	8471200_-	8475627	8475676	8508798	CHS.39857.5	8476487	8508798	695	TRUE	860
chr4_8475772_8476555_+	8471200_-	8476001	8476050	8508798	CHS.39857.12,CHS.39857.9	8476487	8508798	695	TRUE	486
chr3_126953222_126953398_+	126914750_-	126953276	126953325	126957416	CHS.38257.10	126953398	126957416	691	FALSE	122
chr8_22624370_22625412_-	-_22629964	22625301	22624363	22625252	CHS.52939.11	22624363	22624971	688	TRUE	330
chr13_49915737_49918221_-	-_49921478	49918178	49915160	49918129	CHS.14067.7	49915160	49916564	687	TRUE	1614
chr22_19893908_19895200_-	-_19895407	19895133	19883461	19895084	CHS.35216.26,CHS.35216.27	19883461	19895048	687	TRUE	85
chr2_63209576_63209656_-	-_63259311	63209639	63174832	63209590	CHS.29631.19	63174832	63209423	672	FALSE	216
chr2_63209577_63209656_-	-_63313248	63209639	63174832	63209590	CHS.29631.18	63174832	63209423	672	FALSE	216
chr10_15107630_15109215_-	-_15109702	15109195	15106698	15109146	CHS.5593.10,CHS.5593.9	15106698	15109040	665	TRUE	155
chr9_89377235_89379629_-	-_89381055	89378704	89377051	89378655	CHS.56007.35,CHS.56007.37,CHS.56007.42,CHS.56007.43,CHS.56007.45,CHS.56007.86,CHS.56007.87	89377051	89377502	649	TRUE	1202
chr15_88902183_88904162_-	-_88905757	88904116	88901735	88904067	CHS.18194.25	88901735	88902218	642	TRUE	1898
chr13_95815251_95816104_-	-_95832927	95815941	95801812	95815892	CHS.14527.12	95801812	95815809	638	TRUE	132
chr22_41767576_41767698_+	41763321_-	41767608	41767657	41770686	CHS.35965.4	41767703	41770686	637	FALSE	95
chrX_7057586_7057823_-	-_7077220	7057707	7050472	7057658	CHS.57476.8	7050472	7057521	606	FALSE	186
chr13_49915737_49918221_-	-_49921478	49918178	49915160	49918129	CHS.14067.7	49915160	49917336	604	TRUE	842
chr13_49917103_49918221_-	-_49921478	49918178	49915160	49918129	CHS.14067.14	49915160	49917336	604	TRUE	842
chr17_18387083_18387118_+	18383587_-	18387085	18387134	18388219	CHS.21505.2	18387200	18388219	600	FALSE	115
chr16_58011018_58013558_+	58010112_-	58011129	58011178	58014273	CHS.20001.4	58011565	58014273	598	TRUE	436
chr15_71766699_71767651_+	71765199_-	71766734	71766783	71771064	CHS.17750.20	71766849	71771064	597	TRUE	115
chr13_100491650_100491818_+	100449305_-	100491673	100491722	100515427	CHS.14590.9	100491747	100515427	590	TRUE	74
chr5_87391494_87394480_-	-_87395044	87394457	87312795	87394408	CHS.43347.34	87312795	87392770	583	TRUE	1687
chr12_123000303_123000478_-	-_123000778	123000380	122997572	123000331	CHS.13079.22,CHS.13079.45,CHS.13079.46	122997572	123000309	576	TRUE	71
chr1_207347132_207347251_+	207340508_-	207347171	207347220	207359546	CHS.4365.9	207347256	207359546	563	FALSE	85
chr14_89831064_89831216_-	-_89931541	89831141	89797324	89831092	CHS.16140.11	89797324	89830948	547	FALSE	193
chr6_138782340_138783155_+	138779985_-	138782344	138782393	138785227	CHS.47631.1	138782518	138785227	547	TRUE	174
chr11_134345268_134345848_+	134345129_-	134345313	134345362	134347325	CHS.10502.9	134345613	134347325	528	TRUE	300
chr12_96011749_96011865_-	-_96013188	96011802	96009148	96011753	CHS.12482.14	96009148	96011634	498	FALSE	168
chr9_132658083_132658358_-	-_132658671	132658302	132652492	132658253	CHS.57019.17	132652492	132658103	495	TRUE	199
chrX_85871363_85872516_-	-_85873052	85872478	85864821	85872429	CHS.58365.7	85864821	85872409	490	TRUE	69
chr2_46591803_46591925_-	-_46592475	46591908	46588179	46591859	CHS.29406.12	46588179	46591803	481	FALSE	105
chr3_111133661_111137560_+	111126335_-	111133692	111133741	111144899	CHS.37968.2	111134205	111144899	473	TRUE	513
chr3_123978675_123980604_-	-_123991922	123980305	123976981	123980256	CHS.38194.15	123976981	123979364	458	TRUE	941
chr17_75114169_75114820_+	75110606_-	75114182	75114231	75128677	CHS.23236.1	75114351	75128677	446	TRUE	169
chr3_194408543_194409289_-	-_194412199	194409245	194406116	194409196	CHS.39358.37	194406116	194409171	430	TRUE	74
chr17_63542690_63543565_+	63542434_-	63542722	63542771	63543576	CHS.22928.1	63542985	63543576	426	TRUE	263
chr3_48751725_48752112_-	-_48756379	48752002	48751718	48751953	CHS.37234.14	48751718	48751795	415	TRUE	207
chr5_132302441_132306384_+	132295009_-	132302506	132302555	132312161	CHS.43876.7	132302628	132312161	411	TRUE	122
chr2_203441469_203442673_-	-_203444868	203442599	203441413	203442550	CHS.31825.18	203441413	203441823	410	TRUE	776
chr2_203441469_203442080_-	-_203444868	203442078	203441413	203442029	CHS.31825.16	203441413	203441823	410	TRUE	255
chr16_89660540_89661508_+	89658421_-	89660550	89660599	89669286	CHS.20741.8	89661111	89669286	409	TRUE	561
chr6_534551_534580_-	-_549175	534566	532610	534517	CHS.45116.20	532610	534508	404	FALSE	58
chr11_68578610_68582392_+	68576043_-	68578870	68578919	68583043	CHS.9316.22	68580281	68583043	396	TRUE	1411
chr6_149840438_149842676_-	-_149842983	149842612	149837463	149842563	CHS.47797.18	149837463	149841204	394	TRUE	1408
chr14_77429774_77430169_-	-_77433842	77430119	77429767	77430070	CHS.16023.11	77429767	77430035	386	TRUE	84
chrX_150735464_150735701_+	150732730_-	150735499	150735548	150736595	CHS.58973.6	150736004	150736595	385	FALSE	505
chr15_58565179_58566471_+	58563723_-	58565290	58565339	58568716	CHS.17444.16	58565484	58568716	384	TRUE	194
chr10_125791520_125794388_-	-_125794880	125794377	125789528	125794328	CHS.7482.31,CHS.7482.52	125789528	125794022	377	TRUE	355
chr17_28328887_28329068_-	-_28329173	28329038	28328733	28328989	CHS.21679.17	28328733	28328878	371	FALSE	160
chr3_142168743_142169323_-	-_142170325	142169280	142165770	142169231	CHS.38546.12	142165770	142169074	369	TRUE	206
chr3_126883194_126891450_+	126852730_-	126883259	126883308	126914680	CHS.38257.8	126888677	126914680	365	TRUE	5418
chr12_102019277_102019371_-	-_102025974	102019362	102017805	102019313	CHS.12581.16,CHS.12581.33	102017805	102019285	359	TRUE	77
chr14_102208862_102210527_+	102197847_-	102208876	102208925	102212520	CHS.16447.111	102209862	102212520	357	TRUE	986
chr10_17007194_17012171_-	-_17019833	17012122	16990515	17012073	CHS.5616.27	16990515	17010676	354	TRUE	1446
chr3_133935906_133936326_-	-_133938429	133936253	133935897	133936204	CHS.38418.28	133935897	133936015	334	TRUE	238
chr6_45492881_45493860_+	45492114_-	45492900	45492949	45512246	CHS.46472.47	45492962	45512246	334	TRUE	62
chr6_8078494_8078740_-	-_8090186	8078678	8073510	8078629	CHS.45323.8	8073510	8078500	330	TRUE	178
chr15_101641848_101642644_-	-_101645087	101642479	101633728	101642430	CHS.18477.11,CHS.18477.12	101633728	101642410	321	TRUE	69
chr10_33194367_33194780_-	-_33197650	33194713	33192418	33194664	CHS.5906.21	33192418	33194581	318	TRUE	132
chr10_33194383_33194780_-	-_33197650	33194713	33192418	33194664	CHS.5906.22,CHS.5906.23	33192418	33194581	318	TRUE	132
chr17_12125621_12125956_+	12125371_-	12125656	12125705	12129139	CHS.21350.9	12125735	12129139	316	TRUE	79
chr6_43303085_43304031_+	43302763_-	43303271	43303320	43304038	CHS.46404.29	43303879	43304038	315	TRUE	608
chr12_75277211_75279065_-	-_75282251	75278890	75276247	75278841	CHS.12203.78	75276247	75277614	312	TRUE	1276
chr18_69909674_69910602_-	-_69946734	69910535	69896045	69910486	CHS.24883.19	69896045	69910297	303	TRUE	238
chr2_46010684_46019128_+	46010517_-	46010737	46010786	46086208	CHS.29386.3	46010814	46086208	299	TRUE	77
chr12_111749011_111749132_+	111748475_-	111749039	111749088	111749173	CHS.12783.6	111749103	111749173	298	TRUE	64
chrX_150735464_150735701_+	150732730_-	150735499	150735548	150736595	CHS.58973.6	150735627	150736595	297	TRUE	128
chr12_98743974_98745865_-	-_98751355	98745833	98735634	98745784	CHS.12537.127,CHS.12537.21	98735634	98745466	296	TRUE	367
chr12_98743974_98745846_-	-_98751355	98745739	98735634	98745690	CHS.12537.100,CHS.12537.123,CHS.12537.126,CHS.12537.130,CHS.12537.18,CHS.12537.23,CHS.12537.24,CHS.12537.42,CHS.12537.43,CHS.12537.45,CHS.12537.46,CHS.12537.82,CHS.12537.90,CHS.12537.91,CHS.12537.94,CHS.12537.95,CHS.12537.96,CHS.12537.97	98735634	98745466	296	TRUE	273
chr12_98743974_98745849_-	-_98751355	98745739	98735634	98745690	CHS.12537.124,CHS.12537.125,CHS.12537.16,CHS.12537.17,CHS.12537.19,CHS.12537.20,CHS.12537.22,CHS.12537.25,CHS.12537.28,CHS.12537.30,CHS.12537.31,CHS.12537.32,CHS.12537.33,CHS.12537.35,CHS.12537.88,CHS.12537.98,CHS.12537.99	98735634	98745466	296	TRUE	273
chr19_12899700_12899969_+	12897863_-	12899743	12899792	12900234	CHS.25808.3	12900050	12900234	296	FALSE	307
chr16_46597359_46598347_-	-_46599831	46598286	46595670	46598237	CHS.19734.8	46595670	46597621	285	TRUE	665
chr9_36113679_36114616_+	36112476_-	36113736	36113785	36116985	CHS.55430.3	36113871	36116985	284	TRUE	135
chr5_109830834_109830980_+	109823837_-	109830922	109830971	109842328	CHS.43579.6	109830980	109842328	277	FALSE	58
chr4_4418968_4420129_-	-_4420864	4420034	4416163	4419985	CHS.39763.1,CHS.39763.10,CHS.39763.14,CHS.39763.4	4416163	4419950	269	TRUE	84
chr1_1936510_1937553_-	-_1938855	1937523	1930336	1937474	CHS.128.22	1930336	1937389	268	TRUE	134
chr10_100196408_100199168_-	-_100199971	100199101	100194521	100199052	CHS.6975.10	100194521	100199001	267	TRUE	100
chr11_68578610_68582392_+	68576043_-	68578870	68578919	68583043	CHS.9316.22	68582202	68583043	263	TRUE	3332
chr6_138782340_138783155_+	138779985_-	138782344	138782393	138785227	CHS.47631.1	138782441	138785227	258	TRUE	97
chr11_35222375_35223319_+	35221732_-	35222378	35222427	35229129	CHS.8449.1	35222569	35229129	256	TRUE	191
chr9_132595146_132596422_-	-_132612087	132596368	132595112	132596319	CHS.57019.15	132595112	132596315	248	TRUE	53
chr10_4999911_5000460_-	-_5000550	5000410	4999277	5000361	CHS.5375.18	4999277	5000271	247	TRUE	139
chr11_93434794_93435040_+	93415114_-	93434958	93435007	93437543	CHS.9734.8	93435040	93437543	242	FALSE	82
chr17_5213009_5214836_-	-_5214925	5214727	5210955	5214678	CHS.21094.6,CHS.21094.7	5210955	5214579	238	TRUE	148
chr1_154479481_154484335_-	-_154485943	154484149	154470362	154484100	CHS.3217.10	154470362	154483889	231	TRUE	260
chr5_34950444_34952763_+	34950342_-	34950447	34950496	34953926	CHS.42587.2	34950858	34953926	230	TRUE	411
chr15_88902183_88904162_-	-_88905757	88904116	88901735	88904067	CHS.18194.25	88901735	88903937	227	TRUE	179
chr4_168927817_168928677_-	-_169002071	168928652	168894765	168928603	CHS.41770.4	168894765	168928537	227	TRUE	115
chr6_26392146_26394013_+	26390829_-	26392228	26392277	26394298	CHS.45694.20	26393648	26394298	227	TRUE	1420
chr6_26392375_26393992_+	26390829_-	26392967	26393016	26394298	CHS.45694.6	26393648	26394298	227	TRUE	681
chr6_26392375_26394013_+	26390829_-	26392967	26393016	26394298	CHS.45694.22	26393648	26394298	227	TRUE	681
chr3_44577305_44581652_+	44568433_-	44577372	44577421	44582972	CHS.37081.35	44578289	44582972	225	TRUE	917
chr4_174506743_174508183_-	-_174508696	174508074	174495624	174508025	CHS.41845.16	174495624	174507625	224	TRUE	449
chr1_217652253_217656641_+	217651178_-	217652564	217652613	217669033	CHS.4555.16	217656512	217669033	219	TRUE	3948
chr1_217656356_217656670_+	217651178_-	217656373	217656422	217669033	CHS.4555.13	217656512	217669033	219	TRUE	139
chr1_233065452_233065661_-	-_233090061	233065643	233057290	233065594	CHS.4912.18	233057290	233065445	219	FALSE	198
chr16_89139918_89145207_+	89133262_-	89139943	89139992	89145214	CHS.20711.14	89143971	89145214	216	TRUE	4028
chr1_155180435_155180633_+	155179934_-	155180502	155180551	155181852	CHS.3260.5	155180679	155181852	211	FALSE	177
chr9_96249910_96250485_-	-_96251418	96250465	96249786	96250416	CHS.56167.39	96249786	96250281	209	TRUE	184
