ex	transcript_id	E	stop_cod	gr_50bp	TE	transcript_id_te	source	pAread	atlas_exp	gene_name	db_xref.nmd	max_TPM.nmd	sample_count.nmd	db_xref.ate	sample_count.ate	max_TPM.ate	I1	I2
chr11_125609710_125609780_+	CHS.10347.1	chr11_125609589_125611428_+	125609720	TRUE	125610686	NA	pAread	37	0	STT3A	NA	12	1611	NA	NA	NA	chr11_125609589_125609710_+	chr11_125609780_125611428_+
chr12_171247_171326_+	CHS.10609.33	chr12_171161_174599_+	171321	FALSE	171306	CHS.10609.15	atlas,pAread,TE	416	0.1645	IQSEC3	NA	32	641	RefSeq:NM_015232.2,GENCODE:ENST00000382841.2	197	19	chr12_171161_171247_+	chr12_171326_174599_+
chr12_286126_286207_-	CHS.10621.25	chr12_285662_292759_-	286163	FALSE	285829	NA	atlas	0	0.0011	KDM5A	NA	10	1040	NA	NA	NA	chr12_285662_286126_-	chr12_286207_292759_-
chr12_286126_286207_-	CHS.10621.25	chr12_285662_292759_-	286163	FALSE	286060	NA	atlas,pAread	176	0.028	KDM5A	NA	10	1040	NA	NA	NA	chr12_285662_286126_-	chr12_286207_292759_-
chr12_286126_286207_-	CHS.10621.25	chr12_285662_292759_-	286163	FALSE	286152	NA	atlas,pAread	103	0.0044	KDM5A	NA	10	1040	NA	NA	NA	chr12_285662_286126_-	chr12_286207_292759_-
chr12_1410389_1410453_+	CHS.10638.10	chr12_1408247_1444562_+	1410415	FALSE	1416394	NA	atlas	0	0.0033	ERC1	RefSeq:NR_027948.3,GENCODE:ENST00000440394.7	34	1215	NA	NA	NA	chr12_1408247_1410389_+	chr12_1410453_1444562_+
chr12_1410389_1410453_+	CHS.10638.10	chr12_1408247_1444562_+	1410415	FALSE	1433709	NA	atlas	0	0.002	ERC1	RefSeq:NR_027948.3,GENCODE:ENST00000440394.7	34	1215	NA	NA	NA	chr12_1408247_1410389_+	chr12_1410453_1444562_+
chr12_1410389_1410453_+	CHS.10638.11	chr12_1408247_1444562_+	1410415	FALSE	1416394	NA	atlas	0	0.0033	ERC1	RefSeq:NR_027946.3,GENCODE:ENST00000347735.10	26	1129	NA	NA	NA	chr12_1408247_1410389_+	chr12_1410453_1444562_+
chr12_1410389_1410453_+	CHS.10638.11	chr12_1408247_1444562_+	1410415	FALSE	1433709	NA	atlas	0	0.002	ERC1	RefSeq:NR_027946.3,GENCODE:ENST00000347735.10	26	1129	NA	NA	NA	chr12_1408247_1410389_+	chr12_1410453_1444562_+
chr12_1410389_1410453_+	CHS.10638.14	chr12_1408247_1444562_+	1410415	FALSE	1416394	NA	atlas	0	0.0033	ERC1	RefSeq:NR_027949.3,GENCODE:ENST00000545948.5	7	210	NA	NA	NA	chr12_1408247_1410389_+	chr12_1410453_1444562_+
chr12_1410389_1410453_+	CHS.10638.14	chr12_1408247_1444562_+	1410415	FALSE	1433709	NA	atlas	0	0.002	ERC1	RefSeq:NR_027949.3,GENCODE:ENST00000545948.5	7	210	NA	NA	NA	chr12_1408247_1410389_+	chr12_1410453_1444562_+
chr12_1480843_1480898_+	CHS.10638.49	chr12_1444750_1490093_+	1480890	FALSE	1487557	NA	pAread	425	0	ERC1	RefSeq:NM_001301248.1,GENCODE:ENST00000355446.9	14	1060	NA	NA	NA	chr12_1444750_1480843_+	chr12_1480898_1490093_+
chr12_3814995_3815053_-	CHS.10701.6	chr12_3814188_3821873_-	3815044	FALSE	3814232	NA	pAread	13	0	PARP11	RefSeq:NR_104461.2,GENCODE:ENST00000453942.2	4.2	304	NA	NA	NA	chr12_3814188_3814995_-	chr12_3815053_3821873_-
chr12_6983002_6983206_+	CHS.10831.18	chr12_6975378_6987782_+	6983052	TRUE	6983274	NA	atlas,pAread	70	0.0488	EMG1	NA	12	1176	NA	NA	NA	chr12_6975378_6983002_+	chr12_6983206_6987782_+
chr12_6983002_6983206_+	CHS.10831.18	chr12_6975378_6987782_+	6983052	TRUE	6983355	NA	atlas	0	0.0107	EMG1	NA	12	1176	NA	NA	NA	chr12_6975378_6983002_+	chr12_6983206_6987782_+
chr12_6983002_6983206_+	CHS.10831.18	chr12_6975378_6987782_+	6983052	TRUE	6983507	NA	pAread	16	0	EMG1	NA	12	1176	NA	NA	NA	chr12_6975378_6983002_+	chr12_6983206_6987782_+
chr12_6983002_6983206_+	CHS.10831.18	chr12_6975378_6987782_+	6983052	TRUE	6983527	NA	pAread	12	0	EMG1	NA	12	1176	NA	NA	NA	chr12_6975378_6983002_+	chr12_6983206_6987782_+
chr12_6983002_6983206_+	CHS.10831.18	chr12_6975378_6987782_+	6983052	TRUE	6984378	NA	pAread	17	0	EMG1	NA	12	1176	NA	NA	NA	chr12_6975378_6983002_+	chr12_6983206_6987782_+
chr12_6983002_6983206_+	CHS.10831.18	chr12_6975378_6987782_+	6983052	TRUE	6985249	NA	pAread	27	0	EMG1	NA	12	1176	NA	NA	NA	chr12_6975378_6983002_+	chr12_6983206_6987782_+
chr12_6983002_6983206_+	CHS.10831.18	chr12_6975378_6987782_+	6983052	TRUE	6987619	NA	pAread	18	0	EMG1	NA	12	1176	NA	NA	NA	chr12_6975378_6983002_+	chr12_6983206_6987782_+
chr12_6983002_6983206_+	CHS.10831.18	chr12_6975378_6987782_+	6983052	TRUE	6987626	NA	atlas	0	0.0014	EMG1	NA	12	1176	NA	NA	NA	chr12_6975378_6983002_+	chr12_6983206_6987782_+
chr12_10612640_10612978_-	CHS.10982.8	chr12_10610680_10613439_-	10612827	TRUE	10611996	NA	atlas,pAread	76	0.0049	MAGOHB	GENCODE:ENST00000545236.5	11	7472	NA	NA	NA	chr12_10610680_10612640_-	chr12_10612978_10613439_-
chr12_21288136_21288437_-	CHS.11177.27	chr12_21275424_21292164_-	21288332	TRUE	21287549	NA	atlas	0	0.0066	SLCO1A2	RefSeq:NR_170340.1	6	3	NA	NA	NA	chr12_21275424_21288136_-	chr12_21288437_21292164_-
chr12_21288136_21288437_-	CHS.11177.32	chr12_21275424_21292164_-	21288332	TRUE	21287549	NA	atlas	0	0.0066	SLCO1A2	RefSeq:NR_170341.1	2.2	1	NA	NA	NA	chr12_21275424_21288136_-	chr12_21288437_21292164_-
chr1_32832334_32832379_+	CHS.1121.24	chr1_32830067_32834034_+	32832359	FALSE	32832449	NA	atlas,pAread	57	0.0029	S100PBP	RefSeq:NR_135106.1	4.3	221	NA	NA	NA	chr1_32830067_32832334_+	chr1_32832379_32834034_+
chr12_28412754_28412938_+	CHS.11293.57	chr12_28391411_28450161_+	28412795	TRUE	28413106	NA	atlas	0	0.0033	CCDC91	GENCODE:ENST00000543809.5	2.3	6	NA	NA	NA	chr12_28391411_28412754_+	chr12_28412938_28450161_+
chr12_28412754_28412938_+	CHS.11293.57	chr12_28391411_28450161_+	28412795	TRUE	28428609	NA	pAread	26	0	CCDC91	GENCODE:ENST00000543809.5	2.3	6	NA	NA	NA	chr12_28391411_28412754_+	chr12_28412938_28450161_+
chr12_28412754_28412938_+	CHS.11293.57	chr12_28391411_28450161_+	28412795	TRUE	28432861	NA	atlas	0	0.0036	CCDC91	GENCODE:ENST00000543809.5	2.3	6	NA	NA	NA	chr12_28391411_28412754_+	chr12_28412938_28450161_+
chr12_28412754_28412938_+	CHS.11293.57	chr12_28391411_28450161_+	28412795	TRUE	28441099	NA	pAread	157	0	CCDC91	GENCODE:ENST00000543809.5	2.3	6	NA	NA	NA	chr12_28391411_28412754_+	chr12_28412938_28450161_+
chr12_30715875_30715954_-	CHS.11323.126	chr12_30715081_30716508_-	30715944	TRUE	30715176	NA	pAread	27	0	CAPRIN2	RefSeq:NR_169643.1	NA	NA	NA	NA	NA	chr12_30715081_30715875_-	chr12_30715954_30716508_-
chr12_30983310_30983419_+	CHS.11329.5	chr12_30983150_30991856_+	30983348	TRUE	30983715	NA	atlas	0	0.0202	TSPAN11	NA	6	61	NA	NA	NA	chr12_30983150_30983310_+	chr12_30983419_30991856_+
chr12_30983310_30983419_+	CHS.11329.5	chr12_30983150_30991856_+	30983348	TRUE	30984520	CHS.11329.18	TE	0	0	TSPAN11	NA	6	61	NA	193	5	chr12_30983150_30983310_+	chr12_30983419_30991856_+
chr12_30983310_30983419_+	CHS.11329.5	chr12_30983150_30991856_+	30983348	TRUE	30985360	NA	atlas	0	0.015	TSPAN11	NA	6	61	NA	NA	NA	chr12_30983150_30983310_+	chr12_30983419_30991856_+
chr1_33012074_33012122_-	CHS.1133.6	chr1_33010833_33013207_-	33012118	FALSE	33010856	NA	atlas,pAread	163	0.0161	AK2	RefSeq:NM_001319141.3,GENCODE:ENST00000467905.5	39	5862	NA	NA	NA	chr1_33010833_33012074_-	chr1_33012122_33013207_-
chr1_33012074_33012122_-	CHS.1133.6	chr1_33010833_33013207_-	33012118	FALSE	33011659	NA	pAread	14	0	AK2	RefSeq:NM_001319141.3,GENCODE:ENST00000467905.5	39	5862	NA	NA	NA	chr1_33010833_33012074_-	chr1_33012122_33013207_-
chr1_33012074_33012122_-	CHS.1133.6	chr1_33010833_33013207_-	33012118	FALSE	33012004	NA	pAread	23	0	AK2	RefSeq:NM_001319141.3,GENCODE:ENST00000467905.5	39	5862	NA	NA	NA	chr1_33010833_33012074_-	chr1_33012122_33013207_-
chr1_33101833_33101902_+	CHS.1136.13	chr1_33098179_33117902_+	33101866	FALSE	33101892	CHS.1136.31	TE	0	0	AZIN2	RefSeq:XM_011540566.2	3.0	5	RefSeq:NR_126031.1	17	4.2	chr1_33098179_33101833_+	chr1_33101902_33117902_+
chr1_33101833_33101902_+	CHS.1136.13	chr1_33098179_33117902_+	33101866	FALSE	33104624	NA	atlas,pAread	58	0.0649	AZIN2	RefSeq:XM_011540566.2	3.0	5	NA	NA	NA	chr1_33098179_33101833_+	chr1_33101902_33117902_+
chr1_33101833_33101902_+	CHS.1136.13	chr1_33098179_33117902_+	33101866	FALSE	33105349	NA	pAread	12	0	AZIN2	RefSeq:XM_011540566.2	3.0	5	NA	NA	NA	chr1_33098179_33101833_+	chr1_33101902_33117902_+
chr1_33101833_33101902_+	CHS.1136.13	chr1_33098179_33117902_+	33101866	FALSE	33108834	NA	pAread	15	0	AZIN2	RefSeq:XM_011540566.2	3.0	5	NA	NA	NA	chr1_33098179_33101833_+	chr1_33101902_33117902_+
chr1_33101833_33101902_+	CHS.1136.13	chr1_33098179_33117902_+	33101866	FALSE	33109688	NA	pAread	27	0	AZIN2	RefSeq:XM_011540566.2	3.0	5	NA	NA	NA	chr1_33098179_33101833_+	chr1_33101902_33117902_+
chr1_33101833_33101902_+	CHS.1136.13	chr1_33098179_33117902_+	33101866	FALSE	33109915	NA	atlas,pAread	179	0.0047	AZIN2	RefSeq:XM_011540566.2	3.0	5	NA	NA	NA	chr1_33098179_33101833_+	chr1_33101902_33117902_+
chr1_33101833_33101902_+	CHS.1136.27	chr1_33098179_33117902_+	33101892	FALSE	33101892	CHS.1136.31	TE	0	0	AZIN2	RefSeq:NR_146648.2,GENCODE:ENST00000652171.1	0.9	2	RefSeq:NR_126031.1	17	4.2	chr1_33098179_33101833_+	chr1_33101902_33117902_+
chr1_33101833_33101902_+	CHS.1136.27	chr1_33098179_33117902_+	33101892	FALSE	33104624	NA	atlas,pAread	58	0.0649	AZIN2	RefSeq:NR_146648.2,GENCODE:ENST00000652171.1	0.9	2	NA	NA	NA	chr1_33098179_33101833_+	chr1_33101902_33117902_+
chr1_33101833_33101902_+	CHS.1136.27	chr1_33098179_33117902_+	33101892	FALSE	33105349	NA	pAread	12	0	AZIN2	RefSeq:NR_146648.2,GENCODE:ENST00000652171.1	0.9	2	NA	NA	NA	chr1_33098179_33101833_+	chr1_33101902_33117902_+
chr1_33101833_33101902_+	CHS.1136.27	chr1_33098179_33117902_+	33101892	FALSE	33108834	NA	pAread	15	0	AZIN2	RefSeq:NR_146648.2,GENCODE:ENST00000652171.1	0.9	2	NA	NA	NA	chr1_33098179_33101833_+	chr1_33101902_33117902_+
chr1_33101833_33101902_+	CHS.1136.27	chr1_33098179_33117902_+	33101892	FALSE	33109688	NA	pAread	27	0	AZIN2	RefSeq:NR_146648.2,GENCODE:ENST00000652171.1	0.9	2	NA	NA	NA	chr1_33098179_33101833_+	chr1_33101902_33117902_+
chr1_33101833_33101902_+	CHS.1136.27	chr1_33098179_33117902_+	33101892	FALSE	33109915	NA	atlas,pAread	179	0.0047	AZIN2	RefSeq:NR_146648.2,GENCODE:ENST00000652171.1	0.9	2	NA	NA	NA	chr1_33098179_33101833_+	chr1_33101902_33117902_+
chr12_38686592_38686702_-	CHS.11385.6	chr12_38685617_38693657_-	38686625	FALSE	38685688	NA	atlas	0	4e-04	CPNE8	NA	7	416	NA	NA	NA	chr12_38685617_38686592_-	chr12_38686702_38693657_-
chr12_39822629_39822718_-	CHS.11395.11	chr12_39764858_39830103_-	39822712	TRUE	39799065	NA	atlas	0	4e-04	SLC2A13	NA	1.6	2	NA	NA	NA	chr12_39764858_39822629_-	chr12_39822718_39830103_-
chr12_39822629_39822718_-	CHS.11395.11	chr12_39764858_39830103_-	39822712	TRUE	39799067	NA	pAread	68	0	SLC2A13	NA	1.6	2	NA	NA	NA	chr12_39764858_39822629_-	chr12_39822718_39830103_-
chr12_39822629_39822718_-	CHS.11395.11	chr12_39764858_39830103_-	39822712	TRUE	39812334	NA	pAread	49	0	SLC2A13	NA	1.6	2	NA	NA	NA	chr12_39764858_39822629_-	chr12_39822718_39830103_-
chr12_39822629_39822718_-	CHS.11395.11	chr12_39764858_39830103_-	39822712	TRUE	39812832	NA	pAread	560	0	SLC2A13	NA	1.6	2	NA	NA	NA	chr12_39764858_39822629_-	chr12_39822718_39830103_-
chr12_39822629_39822718_-	CHS.11395.11	chr12_39764858_39830103_-	39822712	TRUE	39812998	NA	pAread	126	0	SLC2A13	NA	1.6	2	NA	NA	NA	chr12_39764858_39822629_-	chr12_39822718_39830103_-
chr12_39822629_39822718_-	CHS.11395.11	chr12_39764858_39830103_-	39822712	TRUE	39814418	NA	pAread	27	0	SLC2A13	NA	1.6	2	NA	NA	NA	chr12_39764858_39822629_-	chr12_39822718_39830103_-
chr12_39822629_39822718_-	CHS.11395.11	chr12_39764858_39830103_-	39822712	TRUE	39821895	NA	atlas,pAread	21	0.0215	SLC2A13	NA	1.6	2	NA	NA	NA	chr12_39764858_39822629_-	chr12_39822718_39830103_-
chr12_48662560_48662654_-	CHS.11523.23	chr12_48660619_48667693_-	48662584	FALSE	48661197	NA	pAread	11	0	KANSL2	NA	22	2215	NA	NA	NA	chr12_48660619_48662560_-	chr12_48662654_48667693_-
chr12_48662560_48662654_-	CHS.11523.23	chr12_48660619_48667693_-	48662584	FALSE	48661941	NA	atlas,pAread	74	0.0023	KANSL2	NA	22	2215	NA	NA	NA	chr12_48660619_48662560_-	chr12_48662654_48667693_-
chr12_51780202_51780271_+	CHS.11636.25	chr12_51774362_51786542_+	51780231	FALSE	51780621	NA	pAread	294	0	SCN8A	NA	12	108	NA	NA	NA	chr12_51774362_51780202_+	chr12_51780271_51786542_+
chr12_51780202_51780271_+	CHS.11636.25	chr12_51774362_51786542_+	51780231	FALSE	51782427	NA	atlas	0	0.0042	SCN8A	NA	12	108	NA	NA	NA	chr12_51774362_51780202_+	chr12_51780271_51786542_+
chr12_56160626_56160670_+	CHS.11874.1	chr12_56160320_56161387_+	56160654	FALSE	56160795	CHS.11874.19	TE	0	0	MYL6	RefSeq:NM_021019.5,GENCODE:ENST00000550697.6	7293	9787	GENCODE:ENST00000536128.5	15	137	chr12_56160320_56160626_+	chr12_56160670_56161387_+
chr12_56785902_56786014_+	CHS.11909.38	chr12_56785016_56787125_+	56785945	TRUE	56786181	NA	pAread	15	0	HSD17B6	RefSeq:XM_024449251.2	42	833	NA	NA	NA	chr12_56785016_56785902_+	chr12_56786014_56787125_+
chr12_56785902_56786014_+	CHS.11909.38	chr12_56785016_56787125_+	56785945	TRUE	56786889	NA	pAread	11	0	HSD17B6	RefSeq:XM_024449251.2	42	833	NA	NA	NA	chr12_56785016_56785902_+	chr12_56786014_56787125_+
chr12_58880369_58880478_-	CHS.11997.8	chr12_58879105_58880581_-	58880408	FALSE	58879150	NA	atlas	0	0.0091	LRIG3	GENCODE:ENST00000433272.6	7	301	NA	NA	NA	chr12_58879105_58880369_-	chr12_58880478_58880581_-
chr12_61720687_61720924_-	CHS.12007.22	chr12_61710417_61753622_-	61720913	TRUE	61712804	NA	atlas	0	0.0173	TAFA2	NA	19	305	NA	NA	NA	chr12_61710417_61720687_-	chr12_61720924_61753622_-
chr12_62588856_62588916_+	CHS.12010.3	chr12_62588156_62592586_+	62588893	FALSE	62589737	NA	atlas	0	0.0113	MON2	RefSeq:NM_001278469.3,GENCODE:ENST00000546600.5	16	1621	NA	NA	NA	chr12_62588156_62588856_+	chr12_62588916_62592586_+
chr12_62588856_62588916_+	CHS.12010.3	chr12_62588156_62592586_+	62588893	FALSE	62589769	NA	pAread	271	0	MON2	RefSeq:NM_001278469.3,GENCODE:ENST00000546600.5	16	1621	NA	NA	NA	chr12_62588156_62588856_+	chr12_62588916_62592586_+
chr12_62588856_62588916_+	CHS.12010.3	chr12_62588156_62592586_+	62588893	FALSE	62592455	NA	atlas	0	0.0012	MON2	RefSeq:NM_001278469.3,GENCODE:ENST00000546600.5	16	1621	NA	NA	NA	chr12_62588156_62588856_+	chr12_62588916_62592586_+
chr12_63567600_63567699_-	CHS.12022.55	chr12_63560662_63569224_-	63567651	TRUE	63562775	NA	pAread	15	0	DPY19L2	NA	41	2090	NA	NA	NA	chr12_63560662_63567600_-	chr12_63567699_63569224_-
chr12_63567600_63567699_-	CHS.12022.55	chr12_63560662_63569224_-	63567651	TRUE	63562792	NA	pAread	203	0	DPY19L2	NA	41	2090	NA	NA	NA	chr12_63560662_63567600_-	chr12_63567699_63569224_-
chr12_63567600_63567699_-	CHS.12022.55	chr12_63560662_63569224_-	63567651	TRUE	63565457	NA	atlas	0	0.0032	DPY19L2	NA	41	2090	NA	NA	NA	chr12_63560662_63567600_-	chr12_63567699_63569224_-
chr12_63567600_63567699_-	CHS.12022.55	chr12_63560662_63569224_-	63567651	TRUE	63566221	NA	pAread	14	0	DPY19L2	NA	41	2090	NA	NA	NA	chr12_63560662_63567600_-	chr12_63567699_63569224_-
chr12_63567600_63567699_-	CHS.12022.55	chr12_63560662_63569224_-	63567651	TRUE	63566846	NA	atlas	0	4e-04	DPY19L2	NA	41	2090	NA	NA	NA	chr12_63560662_63567600_-	chr12_63567699_63569224_-
chr1_36294050_36294241_+	CHS.1208.38	chr1_36293935_36296583_+	36294097	TRUE	36294641	NA	pAread	18	0	THRAP3	NA	40	1218	NA	NA	NA	chr1_36293935_36294050_+	chr1_36294241_36296583_+
chr1_36294050_36294241_+	CHS.1208.38	chr1_36293935_36296583_+	36294097	TRUE	36295255	NA	pAread	20	0	THRAP3	NA	40	1218	NA	NA	NA	chr1_36293935_36294050_+	chr1_36294241_36296583_+
chr12_70422707_70422849_+	CHS.12151.2	chr12_70400336_70430485_+	70422713	TRUE	70424463	NA	pAread	15	0	KCNMB4	NA	15	392	NA	NA	NA	chr12_70400336_70422707_+	chr12_70422849_70430485_+
chr12_70672720_70672976_-	CHS.12155.1	chr12_70662605_70684127_-	70672845	TRUE	70663518	NA	atlas	0	0.007	PTPRR	RefSeq:NR_073474.2,GENCODE:ENST00000551219.5	3.2	127	NA	NA	NA	chr12_70662605_70672720_-	chr12_70672976_70684127_-
chr12_70672720_70672976_-	CHS.12155.1	chr12_70662605_70684127_-	70672845	TRUE	70665364	NA	atlas	0	0.0034	PTPRR	RefSeq:NR_073474.2,GENCODE:ENST00000551219.5	3.2	127	NA	NA	NA	chr12_70662605_70672720_-	chr12_70672976_70684127_-
chr12_70672720_70672976_-	CHS.12155.1	chr12_70662605_70684127_-	70672845	TRUE	70666911	NA	pAread	84	0	PTPRR	RefSeq:NR_073474.2,GENCODE:ENST00000551219.5	3.2	127	NA	NA	NA	chr12_70662605_70672720_-	chr12_70672976_70684127_-
chr12_70672720_70672976_-	CHS.12155.1	chr12_70662605_70684127_-	70672845	TRUE	70666923	NA	atlas	0	3e-04	PTPRR	RefSeq:NR_073474.2,GENCODE:ENST00000551219.5	3.2	127	NA	NA	NA	chr12_70662605_70672720_-	chr12_70672976_70684127_-
chr12_70672720_70672976_-	CHS.12155.1	chr12_70662605_70684127_-	70672845	TRUE	70666927	NA	pAread	151	0	PTPRR	RefSeq:NR_073474.2,GENCODE:ENST00000551219.5	3.2	127	NA	NA	NA	chr12_70662605_70672720_-	chr12_70672976_70684127_-
chr12_70672720_70672976_-	CHS.12155.1	chr12_70662605_70684127_-	70672845	TRUE	70668649	NA	pAread	28	0	PTPRR	RefSeq:NR_073474.2,GENCODE:ENST00000551219.5	3.2	127	NA	NA	NA	chr12_70662605_70672720_-	chr12_70672976_70684127_-
chr12_70672720_70672976_-	CHS.12155.1	chr12_70662605_70684127_-	70672845	TRUE	70670860	NA	pAread	25	0	PTPRR	RefSeq:NR_073474.2,GENCODE:ENST00000551219.5	3.2	127	NA	NA	NA	chr12_70662605_70672720_-	chr12_70672976_70684127_-
chr12_70672720_70672976_-	CHS.12155.1	chr12_70662605_70684127_-	70672845	TRUE	70671314	NA	pAread	406	0	PTPRR	RefSeq:NR_073474.2,GENCODE:ENST00000551219.5	3.2	127	NA	NA	NA	chr12_70662605_70672720_-	chr12_70672976_70684127_-
chr12_70672720_70672976_-	CHS.12155.1	chr12_70662605_70684127_-	70672845	TRUE	70671689	NA	pAread	33	0	PTPRR	RefSeq:NR_073474.2,GENCODE:ENST00000551219.5	3.2	127	NA	NA	NA	chr12_70662605_70672720_-	chr12_70672976_70684127_-
chr12_71909169_71909357_+	CHS.12176.57	chr12_71907138_71913826_+	71909185	TRUE	71911817	NA	atlas	0	0.0018	TBC1D15	RefSeq:NR_169777.1	NA	NA	NA	NA	NA	chr12_71907138_71909169_+	chr12_71909357_71913826_+
chr12_80811465_80811683_-	CHS.12275.3	chr12_80797726_80845730_-	80811465	FALSE	80804048	NA	atlas	0	0.0068	LIN7A	RefSeq:NM_001324423.2	6	36	NA	NA	NA	chr12_80797726_80811465_-	chr12_80811683_80845730_-
chr12_80811465_80811683_-	CHS.12275.3	chr12_80797726_80845730_-	80811465	FALSE	80805857	NA	atlas	0	0.0062	LIN7A	RefSeq:NM_001324423.2	6	36	NA	NA	NA	chr12_80797726_80811465_-	chr12_80811683_80845730_-
chr12_80811465_80811683_-	CHS.12275.3	chr12_80797726_80845730_-	80811465	FALSE	80807065	NA	pAread	150	0	LIN7A	RefSeq:NM_001324423.2	6	36	NA	NA	NA	chr12_80797726_80811465_-	chr12_80811683_80845730_-
chr12_80811465_80811683_-	CHS.12275.3	chr12_80797726_80845730_-	80811465	FALSE	80809823	NA	atlas,pAread	28	0.0192	LIN7A	RefSeq:NM_001324423.2	6	36	NA	NA	NA	chr12_80797726_80811465_-	chr12_80811683_80845730_-
chr12_80811465_80811683_-	CHS.12275.3	chr12_80797726_80845730_-	80811465	FALSE	80809857	NA	atlas	0	0.0063	LIN7A	RefSeq:NM_001324423.2	6	36	NA	NA	NA	chr12_80797726_80811465_-	chr12_80811683_80845730_-
chr12_80811465_80811683_-	CHS.12275.4	chr12_80797726_80845730_-	80811465	FALSE	80804048	NA	atlas	0	0.0068	LIN7A	RefSeq:NR_136887.2	2.8	14	NA	NA	NA	chr12_80797726_80811465_-	chr12_80811683_80845730_-
chr12_80811465_80811683_-	CHS.12275.4	chr12_80797726_80845730_-	80811465	FALSE	80805857	NA	atlas	0	0.0062	LIN7A	RefSeq:NR_136887.2	2.8	14	NA	NA	NA	chr12_80797726_80811465_-	chr12_80811683_80845730_-
chr12_80811465_80811683_-	CHS.12275.4	chr12_80797726_80845730_-	80811465	FALSE	80807065	NA	pAread	150	0	LIN7A	RefSeq:NR_136887.2	2.8	14	NA	NA	NA	chr12_80797726_80811465_-	chr12_80811683_80845730_-
chr12_80811465_80811683_-	CHS.12275.4	chr12_80797726_80845730_-	80811465	FALSE	80809823	NA	atlas,pAread	28	0.0192	LIN7A	RefSeq:NR_136887.2	2.8	14	NA	NA	NA	chr12_80797726_80811465_-	chr12_80811683_80845730_-
chr12_80811465_80811683_-	CHS.12275.4	chr12_80797726_80845730_-	80811465	FALSE	80809857	NA	atlas	0	0.0063	LIN7A	RefSeq:NR_136887.2	2.8	14	NA	NA	NA	chr12_80797726_80811465_-	chr12_80811683_80845730_-
